133,158,160,33,144,153
"[0.3774188160896301, 0.5058423280715942]","[0.34439918398857117, 0.49888357520103455]","[0.3108291029930115, 0.5009068846702576]","[0.2838810086250305, 0.5089333653450012]","[0.3123953342437744, 0.5132350921630859]","[0.346659779548645, 0.511716902256012]"
"[0.3781417906284332, 0.5053375363349915]","[0.34506914019584656, 0.4982249438762665]","[0.3114699721336365, 0.5001829266548157]","[0.2844844460487366, 0.5081387162208557]","[0.3128657042980194, 0.5126124620437622]","[0.34729644656181335, 0.5112305879592896]"
"[0.37841302156448364, 0.5042744874954224]","[0.34507447481155396, 0.4965372085571289]","[0.3111417889595032, 0.49843457341194153]","[0.28396284580230713, 0.5066656470298767]","[0.31265631318092346, 0.5113259553909302]","[0.34726762771606445, 0.5100975632667542]"
"[0.3790406584739685, 0.5035454034805298]","[0.3454870581626892, 0.4946494400501251]","[0.3111230731010437, 0.49634191393852234]","[0.2842254042625427, 0.5048613548278809]","[0.3129904866218567, 0.5100006461143494]","[0.3476928174495697, 0.5091041326522827]"
"[0.3793351650238037, 0.5024923086166382]","[0.345866858959198, 0.49363696575164795]","[0.31147894263267517, 0.4953167140483856]","[0.284740149974823, 0.5038765668869019]","[0.31343111395835876, 0.5090806484222412]","[0.34810808300971985, 0.5081356167793274]"
"[0.3795498013496399, 0.5029333829879761]","[0.3462862968444824, 0.4939965605735779]","[0.31222957372665405, 0.49563464522361755]","[0.2858608365058899, 0.5041133761405945]","[0.3143097758293152, 0.5094274282455444]","[0.3486415147781372, 0.5085352063179016]"
"[0.37930744886398315, 0.5024363994598389]","[0.3458736836910248, 0.49319350719451904]","[0.3114914894104004, 0.49478185176849365]","[0.28505897521972656, 0.5033005475997925]","[0.3139009475708008, 0.5087469816207886]","[0.3483890891075134, 0.5079150199890137]"
"[0.3796440362930298, 0.5029597282409668]","[0.34639590978622437, 0.49396029114723206]","[0.31228435039520264, 0.49565520882606506]","[0.2858676016330719, 0.5042378306388855]","[0.3145228922367096, 0.5094667077064514]","[0.348890095949173, 0.5085111856460571]"
"[0.3784332275390625, 0.5026406645774841]","[0.3446820080280304, 0.4935398995876312]","[0.31015849113464355, 0.4952241778373718]","[0.28357720375061035, 0.5038447976112366]","[0.3125132620334625, 0.5091626644134521]","[0.34723979234695435, 0.508228600025177]"
"[0.37891894578933716, 0.5024651885032654]","[0.3454044461250305, 0.4936850070953369]","[0.3111144006252289, 0.49537140130996704]","[0.2844505310058594, 0.5038276314735413]","[0.31328085064888, 0.5089882016181946]","[0.3478812575340271, 0.5080190896987915]"
"[0.3787885904312134, 0.50279700756073]","[0.34508079290390015, 0.4941836893558502]","[0.31071048974990845, 0.4959474205970764]","[0.28416797518730164, 0.5043467283248901]","[0.31315314769744873, 0.509416937828064]","[0.34780433773994446, 0.5083500742912292]"
"[0.3780953288078308, 0.5019898414611816]","[0.34447214007377625, 0.49320554733276367]","[0.3097676634788513, 0.4948997497558594]","[0.2825410068035126, 0.5033170580863953]","[0.31173592805862427, 0.5084245800971985]","[0.34667280316352844, 0.5074395537376404]"
"[0.3764081299304962, 0.5008383393287659]","[0.34279805421829224, 0.49199631810188293]","[0.3078790009021759, 0.4936125874519348]","[0.2804171144962311, 0.5020112991333008]","[0.3099590539932251, 0.507304847240448]","[0.3451242446899414, 0.506351888179779]"
"[0.3783905804157257, 0.5010705590248108]","[0.3450377583503723, 0.49216824769973755]","[0.31044161319732666, 0.4938310384750366]","[0.2830392122268677, 0.5022909045219421]","[0.312499463558197, 0.5072972178459167]","[0.34740516543388367, 0.5063337087631226]"
"[0.37613219022750854, 0.502102792263031]","[0.34232717752456665, 0.49388548731803894]","[0.3076121211051941, 0.4957360029220581]","[0.27971363067626953, 0.5040720105171204]","[0.30960625410079956, 0.508837103843689]","[0.34497177600860596, 0.5076627135276794]"
"[0.3773079514503479, 0.5029670000076294]","[0.34320786595344543, 0.49418532848358154]","[0.30798402428627014, 0.49601078033447266]","[0.27993112802505493, 0.5045403838157654]","[0.3101622760295868, 0.5094953775405884]","[0.3457252085208893, 0.5083603262901306]"
"[0.37808263301849365, 0.5028825402259827]","[0.34382763504981995, 0.4939584732055664]","[0.3083658516407013, 0.4957767128944397]","[0.28018587827682495, 0.5043712854385376]","[0.31038805842399597, 0.5095074772834778]","[0.3461633324623108, 0.5083937048912048]"
"[0.3785442113876343, 0.5033256411552429]","[0.34454673528671265, 0.4944828748703003]","[0.30933046340942383, 0.49627411365509033]","[0.28117120265960693, 0.5048073530197144]","[0.31137916445732117, 0.5098544955253601]","[0.3469370901584625, 0.5087569952011108]"
"[0.3779865801334381, 0.5029340982437134]","[0.3438844084739685, 0.4940396249294281]","[0.3085613548755646, 0.4957829713821411]","[0.28043442964553833, 0.5043115615844727]","[0.3105807304382324, 0.5094864964485168]","[0.34622469544410706, 0.5084154009819031]"
"[0.3787751793861389, 0.5025478601455688]","[0.3445216715335846, 0.4933025538921356]","[0.3091564476490021, 0.4951939880847931]","[0.2814570665359497, 0.5039937496185303]","[0.3115985095500946, 0.5092095136642456]","[0.34711384773254395, 0.5081155300140381]"
"[0.3791295886039734, 0.5026518702507019]","[0.3448105454444885, 0.4927620589733124]","[0.3090950548648834, 0.49451112747192383]","[0.2812660336494446, 0.5035248398780823]","[0.31139692664146423, 0.5090380311012268]","[0.3470510244369507, 0.5081002712249756]"
"[0.3794380724430084, 0.502890944480896]","[0.3445030152797699, 0.4929729700088501]","[0.308458149433136, 0.4948221445083618]","[0.28018710017204285, 0.50389564037323]","[0.310915470123291, 0.5095244646072388]","[0.3470695912837982, 0.5085303783416748]"
"[0.37858739495277405, 0.5022732019424438]","[0.3437393605709076, 0.492125540971756]","[0.3074343204498291, 0.4936254620552063]","[0.27912235260009766, 0.5026230812072754]","[0.3101770877838135, 0.5085169672966003]","[0.3464227020740509, 0.507675051689148]"
"[0.3811776041984558, 0.5030049085617065]","[0.34688758850097656, 0.492424875497818]","[0.3113829791545868, 0.4940958023071289]","[0.2838844954967499, 0.5034125447273254]","[0.31389012932777405, 0.5093156099319458]","[0.3493098318576813, 0.508529007434845]"
"[0.3814704716205597, 0.5025978684425354]","[0.3476027846336365, 0.4921753406524658]","[0.3119472861289978, 0.4935818016529083]","[0.2839110195636749, 0.5023206472396851]","[0.31416603922843933, 0.508311927318573]","[0.349599152803421, 0.5077195167541504]"
"[0.38142266869544983, 0.5026595592498779]","[0.34768548607826233, 0.49226510524749756]","[0.31239601969718933, 0.4938218593597412]","[0.284798800945282, 0.5029138326644897]","[0.31460675597190857, 0.5086548328399658]","[0.3497559130191803, 0.5079074501991272]"
"[0.3798407018184662, 0.5029288530349731]","[0.3461174964904785, 0.49355101585388184]","[0.3110140860080719, 0.4953427314758301]","[0.28309789299964905, 0.5039090514183044]","[0.3133501708507538, 0.5090141296386719]","[0.34848451614379883, 0.5080791711807251]"
"[0.38084515929222107, 0.50313800573349]","[0.34628015756607056, 0.4930369257926941]","[0.3107757270336151, 0.4948655068874359]","[0.28306400775909424, 0.5040435791015625]","[0.31338804960250854, 0.5097240209579468]","[0.3489798307418823, 0.5087496042251587]"
"[0.3800232410430908, 0.5023865699768066]","[0.3456804156303406, 0.4917297959327698]","[0.3095862567424774, 0.49320489168167114]","[0.281524658203125, 0.5022059679031372]","[0.312152624130249, 0.5083485841751099]","[0.34799787402153015, 0.5076659321784973]"
"[0.3803141713142395, 0.5028929114341736]","[0.3456214666366577, 0.49196141958236694]","[0.3096122741699219, 0.49349403381347656]","[0.2815771698951721, 0.5028645396232605]","[0.3120150566101074, 0.5089508295059204]","[0.3479611575603485, 0.5082879066467285]"
"[0.3798326551914215, 0.5029000043869019]","[0.34537583589553833, 0.4920721650123596]","[0.3095317482948303, 0.49352288246154785]","[0.28164201974868774, 0.5026267766952515]","[0.31187793612480164, 0.5086609721183777]","[0.34766891598701477, 0.5080992579460144]"
"[0.3779434263706207, 0.5025739669799805]","[0.34330615401268005, 0.4919324517250061]","[0.30735424160957336, 0.49335506558418274]","[0.2794059216976166, 0.5022887587547302]","[0.30996954441070557, 0.5082834362983704]","[0.34586915373802185, 0.507702112197876]"
"[0.37893369793891907, 0.503137469291687]","[0.34428441524505615, 0.49247312545776367]","[0.30835849046707153, 0.4939954876899719]","[0.28049105405807495, 0.5030699968338013]","[0.3110085129737854, 0.5091176629066467]","[0.3468365967273712, 0.5084524154663086]"
"[0.37889358401298523, 0.5026058554649353]","[0.34432336688041687, 0.4916324019432068]","[0.30803942680358887, 0.49299073219299316]","[0.28035229444503784, 0.5020081400871277]","[0.3107430934906006, 0.5082546472549438]","[0.346638560295105, 0.507716715335846]"
"[0.37833788990974426, 0.5019100904464722]","[0.34402555227279663, 0.4916592836380005]","[0.30839261412620544, 0.4931511878967285]","[0.2808953821659088, 0.5017363429069519]","[0.3112867772579193, 0.5076103806495667]","[0.34678709506988525, 0.5069605112075806]"
"[0.3806041181087494, 0.5032939910888672]","[0.3461471199989319, 0.49117034673690796]","[0.309709370136261, 0.492156445980072]","[0.28249186277389526, 0.5016178488731384]","[0.3125782012939453, 0.508431613445282]","[0.34834662079811096, 0.5082485675811768]"
