Frame,EAR,MAR
0,0.1250486003977955,0.03926337436587827
1,0.15552031170491526,0.024508268233309163
2,0.14315717722711255,0.02317774129571651
3,0.14150987292585626,0.031668360242067976
4,0.1393432372647346,0.037826622594537666
5,0.14030890167450527,0.041724427962393895
6,0.14643450743173075,0.044376903489954406
7,0.1476789027457735,0.041171998362384894
8,0.15107120929898782,0.04062829725808902
9,0.1513184192145027,0.03730541868605396
10,0.15014229988786182,0.03625010236069821
11,0.14971182469240413,0.03857489244335036
12,0.14916700633398777,0.03314311141209822
13,0.15617914203699196,0.028451557668896576
14,0.15546292700449962,0.029890531892796987
15,0.1548098879801736,0.028986471955265488
16,0.15542286100218478,0.028021848128077495
17,0.15958998920854695,0.03176154819205545
18,0.16042188965605642,0.026986472488098424
19,0.16095509272325736,0.03239598385996378
20,0.15693812089209985,0.027377739993194136
21,0.15471901621416478,0.03466529312332818
22,0.15987347228759188,0.029122723549125953
23,0.15419684026325942,0.03502312492556544
24,0.15412061240323888,0.03718109329941998
25,0.1500364081548298,0.03353307373181269
26,0.15492256124593165,0.02701570978038683
27,0.16152638550969295,0.02784194110598483
28,0.1551510602228714,0.0225138239790604
29,0.15137380055420457,0.025125495297757486
30,0.15237342528668438,0.023841127580658112
31,0.15376080920194174,0.022384928475898284
32,0.1527958645614393,0.022631171865857863
33,0.1555039959252827,0.022631346614180536
34,0.15602515291783312,0.024792976142429975
35,0.15905374758062907,0.02302641486470407
36,0.15572001230861027,0.025780783869614472
37,0.15756307095664374,0.026971605386396008
38,0.15612536004382638,0.027979805585155535
39,0.1552687283251531,0.026185811337818048
40,0.1567466279473858,0.02462487745335494
41,0.15664048818066403,0.024803303975181046
42,0.15510306766167706,0.025700486000549395
43,0.15509405176930025,0.02277112621156056
44,0.15329743219794162,0.023802513494139976
45,0.15371509953318463,0.02514271353864193
46,0.14885506084807282,0.03151703019650368
47,0.1518049084857936,0.028960650875111547
48,0.14776975172229662,0.02698857468327296
49,0.15006886558328186,0.027399637456350948
50,0.15180259294014609,0.023210788095861967
51,0.15460342848060402,0.022611128110489855
52,0.15089162893257269,0.023956026913055335
53,0.15416546442480317,0.02403465332907985
54,0.13454613263251264,0.022488894740434574
55,0.1358132369384033,0.023411961230214908
